,Country / Dependency,Population,"% of
world",Date,"Source (official or from
the United Nations)",
150,Equatorial Guinea,"1,558,160",0.02%,1 Jul 2022,Official estimate,
151,Estonia,"1,365,884",0.02%,1 Jan 2023,Official estimate,
152,Trinidad and Tobago,"1,365,805",0.02%,30 Jun 2022,Official estimate,
153,East Timor,"1,354,662",0.02%,1 Jul 2023,National annual projection,
154,Mauritius,"1,261,041",0.02%,30 Jun 2023,National estimate,
155,Eswatini,"1,223,362",0.02%,1 Jul 2023,Official projection,
156,Djibouti,"1,001,454",0.01%,1 Jul 2022,National projection,
157,Cyprus,"918,100",0.01%,1 Oct 2021,2021 census result,
158,Fiji,"893,468",0.01%,1 Jul 2021,National annual projection,
159,Bhutan,"770,276",0.010%,2023,National annual projection,
160,Comoros,"758,316",0.009%,15 Dec 2017,2017 census result,
161,Guyana,"743,699",0.009%,1 Jul 2019,Official estimate,
162,Solomon Islands,"734,887",0.009%,1 Jul 2023,National annual projection,
–,Macau (China),"678,800",0.008%,30 Jun 2023,National quarterly estimate,
163,Luxembourg,"660,809",0.008%,1 Jan 2023,Official estimate,
164,Montenegro,"616,695",0.008%,1 Jan 2023,National annual estimate,
165,Suriname,"616,500",0.008%,1 Jul 2021,Official estimate,
–,Western Sahara,"587,259",0.007%,1 Jul 2023,UN projection,
166,Malta,"519,562",0.006%,21 Nov 2021,2021 census result,
167,Cape Verde,"491,233",0.006%,16 Jun 2021,2021 census result,
168,Brunei,"445,400",0.006%,1 Jul 2022,Official estimate,
169,Belize,"441,471",0.005%,1 Jul 2022,Official estimate,
170,Bahamas,"397,360",0.005%,1 Jul 2022,National annual projection|,
171,Iceland,"394,200",0.005%,1 Jul 2023,National quarterly estimate,
–,Northern Cyprus,"382,836",0.005%,31 Dec 2020,Official estimate,
172,Maldives,"382,751",0.005%,13 Sep 2022,2022 census result,
–,Transnistria,"360,938",0.004%,31 Dec 2022,Official estimate,
173,Vanuatu,"301,295",0.004%,1 Jul 2021,National annual projection,
–,French Polynesia (France),"279,890",0.003%,1 Jul 2021,National annual projection,
–,New Caledonia (France),"268,510",0.003%,1 Jan 2023,National annual projection,
174,Barbados,"267,800",0.003%,31 Dec 2022,Official estimate|,
–,Abkhazia,"245,424",0.003%,1 Jan 2020,Official estimate,
175,São Tomé and Príncipe,"214,610",0.003%,1 Jul 2021,National annual projection,
176,Samoa,"205,557",0.003%,6 Nov 2021,Census 2021,
177,Saint Lucia,"178,696",0.002%,1 Jul 2018,Official estimate,
–,Guam (US),"153,836",0.002%,1 Apr 2020,2020 census result,
–,Curacao (Netherlands),"148,925",0.002%,1 Jan 2023,Official estimate,
–,Artsakh,"148,900",0.002%,1 Oct 2019,Official estimate,
178,Kiribati,"120,740",0.001%,1 Jul 2021,National annual projection,
179,Grenada,"112,579",0.001%,1 Jul 2019,Official estimate,
180,Saint Vincent and the Grenadines,"110,872",0.001%,1 Jul 2022,Official estimate,
–,Aruba (Netherlands),"106,739",0.001%,30 Sep 2022,National quarterly estimate,
181,Micronesia,"105,754",0.001%,1 Jul 2021,National annual projection,
–,Jersey (UK),"103,267",0.001%,21 Mar 2021,2021 census result,
182,Antigua and Barbuda,"100,772",0.001%,1 Jan 2022,National annual estimate,
183,Seychelles,"100,447",0.001%,22 Apr 2022,2022 Census,
184,Tonga,"100,179",0.001%,1 Jan 2022,National annual estimate,
–,US Virgin Islands (US),"87,146",0.001%,1 Apr 2020,2020 census result,
–,Isle of Man (UK),"84,069",0.001%,30 May 2021,2021 census result,
185,Andorra,"83,523",0.001%,30 Jun 2023,Official estimate,
–,Cayman Islands (UK),"71,105",0.0009%,30 Sep 2020,2021 Census,
186,Dominica,"67,408",0.0008%,31 Dec 2017,Official estimate,
–,Guernsey (UK),"64,234",0.0008%,30 Sep 2022,National quarterly estimate,
–,Bermuda (UK),"64,055",0.0008%,1 Jul 2021,National annual projection,
–,Greenland (Denmark),"56,865",0.0007%,1 Jul 2023,National quarterly estimate,
–,South Ossetia,"56,520",0.0007%,31 Dec 2021,Official estimate,
–,Faroe Islands (Denmark),"54,738",0.0007%,1 Aug 2023,Monthly national estimate,
–,American Samoa (US),"49,710",0.0006%,1 Apr 2020,2020 census result,
–,Northern Mariana Islands (US),"47,329",0.0006%,1 Apr 2020,2020 census result,
187,Saint Kitts and Nevis,"47,195",0.0006%,15 May 2011,2011 census result,
–,Turks and Caicos Islands (UK),"46,131",0.0006%,1 Jul 2021,Official estimate,
–,Sint Maarten (Netherlands),"42,938",0.0005%,1 Jan 2023,Official estimate,
188,Marshall Islands,"42,418",0.0005%,30 Sep 2021,2021 Census,
189,Liechtenstein,"39,680",0.0005%,31 Dec 2022,National estimate,
190,Monaco,"39,050",0.0005%,31 Dec 2022,Official estimate,
–,Gibraltar (UK),"34,003",0.0004%,1 Jul 2016,Official figure,
191,San Marino,"33,881",0.0004%,31 Jul 2023,Monthly national estimate,
–,Saint Martin (France),"32,358",0.0004%,1 Jan 2020,Official estimate,
–,British Virgin Islands (UK),"31,538",0.0004%,1 Jul 2023,UN projection,
–,Åland (Finland),"30,569",0.0004%,31 Aug 2023,Monthly national estimate,
192,Palau,"16,733",0.0002%,1 Jul 2021,2021 Census,
–,Anguilla (UK),"15,701",0.0002%,31 Dec 2021,Official estimate,
–,Cook Islands,"15,040",0.0002%,1 Jul 2021,2021 Census,
193,Nauru,"11,832",0.0001%,1 Jul 2021,National annual projection,
–,Wallis and Futuna (France),"11,369",0.0001%,1 Jan 2021,National annual projection,
194,Tuvalu,"10,679",0.0001%,1 Jul 2021,National annual projection,
–,Saint Barthélemy (France),"10,585",0.0001%,1 Jan 2020,Official estimate,
–,Saint Pierre and Miquelon (France),"6,092",0%,1 Jan 2020,Official estimate,
–,"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651",0%,1 Jul 2021,2021 Census,
–,Montserrat (UK),"4,433",0%,1 Jul 2022,Official figure,
–,Falkland Islands (UK),"3,662",0%,10 Oct 2021,2021 census result,
–,Norfolk Island (Australia),"2,188",0%,1 Jan 2021,2021 Census,
–,Christmas Island (Australia),"1,692",0%,1 Jan 2021,2021 Census,
–,Tokelau (NZ),"1,647",0%,1 Jan 2019,2019 Census,
–,Niue,"1,549",0%,1 Jul 2021,National annual projection,
195,Vatican City,764,0%,26 Jun 2023,Official figure,
–,Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census,
–,Pitcairn Islands (UK),47,0%,1 Jul 2021,Official estimate,
